country_code,Year,Nitrogen oxide (NOx),Sulphur dioxide (SO₂),Carbon monoxide (CO),Ammonia (NH₃)
AFG,1990,369593.1651,10560.1492,766051.9024,75722.09601
AFG,1991,350497.5077,9881.083158,724590.5122,80299.29088
AFG,1992,224889.3504,5981.234759,466237.5195,86201.79801
AFG,1993,222415.2823,5894.177473,463308.2837,92924.37009
AFG,1994,222376.5971,6251.537337,483645.4922,99621.73938
AFG,1995,220414.6319,5504.838847,485541.3579,105662.3169
AFG,1996,202204.6179,5002.85596,454486.7228,110447.6788
AFG,1997,181953.4662,4819.708251,404052.3035,111683.3105
AFG,1998,169357.6233,4722.550022,373338.663,112996.5114
AFG,1999,136721.2957,4004.444944,308200.1152,115275.3727
AFG,2000,126336.9964,4114.38612,317159.2659,118515.6489
AFG,2001,98452.27772,3321.850887,325589.6627,110906.9276
AFG,2002,93365.72167,3017.811354,281966.322,122072.7043
AFG,2003,95140.57087,4600.507113,305643.8204,124136.5755
AFG,2004,99935.37301,5191.713434,315515.3288,126772.5111
AFG,2005,112494.7954,6072.169081,339616.3222,129393.9561
AFG,2006,128948.8856,6828.301388,356542.4195,132969.0777
AFG,2007,145603.0737,7835.456037,444339.4872,127651.8571
AFG,2008,171307.899,11617.39375,471036.8063,139348.5125
AFG,2009,298979.4242,18133.00751,745978.6139,142703.1767
AFG,2010,375101.3934,20760.84206,898784.6096,146396.0344
AFG,2011,566105.7083,34735.53534,1351420.25,150589.0303
AFG,2012,489384.4523,36122.44604,1205817.268,154808.0701
AFG,2013,421972.5165,38664.03663,1083912.745,159368.6679
AFG,2014,389917.4838,41563.12105,1001553.3,164079.7277
AFG,2015,436829.4475,80922.93961,1109626.579,168776.2009
AFG,2016,400498.435,150819.1745,971032.8042,172990.1412
AFG,2017,420438.0838,177784.8349,985991.8862,177127.7502
AFG,2018,456372.9937,322137.8694,1032861.601,181148.8428
AFG,2019,480669.5859,327818.5535,1055394.006,185026.8495
ALB,1990,24713.48556,89826.55247,134267.5156,40604.96075
ALB,1991,17550.75726,47691.16033,112719.9663,34356.71609
ALB,1992,12118.21028,22500.77225,100134.5709,31772.424
ALB,1993,12181.43272,21462.66429,106565.3739,32872.76766
ALB,1994,13874.92981,19860.30519,122043.6775,38690.85966
ALB,1995,12872.27152,19915.92603,123662.8009,38529.99311
ALB,1996,12509.41457,16066.80492,122530.0606,37348.82011
ALB,1997,9904.699086,11919.81433,110999.1585,35397.8633
ALB,1998,13459.21095,14603.53446,111680.9302,36025.29922
ALB,1999,25622.51178,24361.59586,92352.72267,35038.70466
ALB,2000,26191.54595,25677.45313,86366.58258,35625.28576
ALB,2001,26680.14488,26687.06351,85580.24373,35563.69171
ALB,2002,29255.90026,33027.12643,102158.1291,37132.97613
ALB,2003,29725.48955,29561.87525,87685.56036,35779.56482
ALB,2004,31480.67876,28108.02099,97839.9618,37896.95575
ALB,2005,30408.83974,24513.54833,97027.06445,34771.25569
ALB,2006,28715.68594,24580.38941,92492.09773,35305.13382
ALB,2007,26041.77568,20323.38535,79646.64888,34040.87987
ALB,2008,27144.27438,17392.77549,64808.9932,32244.58956
ALB,2009,25724.12377,14838.43803,70385.28575,32153.05357
ALB,2010,24698.63733,15889.39735,71559.67514,31887.50528
ALB,2011,26725.83967,15358.20963,70979.64681,32711.53635
ALB,2012,23532.22532,12666.02597,65407.41076,35303.40091
ALB,2013,24901.93192,11926.01511,66076.11592,33417.79018
ALB,2014,26782.46619,12605.98817,65430.23522,35484.88184
ALB,2015,24809.38506,8926.124055,62862.46667,43912.12486
ALB,2016,23747.37354,8806.972222,53389.24076,43935.55517
ALB,2017,24537.41864,11035.97186,52474.83646,44018.38157
ALB,2018,23535.53362,11059.37451,50927.29088,44137.12797
ALB,2019,23371.84547,11538.71036,50953.49708,44259.66999
DZA,1990,237589.8417,77865.54419,1147077.556,74212.12318
DZA,1991,252812.8261,82334.52391,1206269.713,72421.27692
DZA,1992,252453.061,86879.17687,1230142.872,75069.82716
DZA,1993,254888.3796,89466.97279,1226690.343,78708.44869
DZA,1994,242401.3139,79830.44366,1143412.086,77746.72211
DZA,1995,237131.3109,78789.70553,1058270.038,76759.42202
